License Number,Business Name,DBA/Trade Name,Business Unique ID,Business Category,License Type,License Status,Initial Issuance Date,Expiration Date,Details,Contact Phone,Address Type,Building Number,Street1,Street2,Street3,Unit Type,Apt/Suite,City,State,ZIP Code,Borough,Community Board,Council District,BIN,BBL,NTA,Census Block (2010),Census Tract (2010),Latitude,Longitude
2040450-DCA,SP PLUS CORPORATION,,BA-1579325-2023,Garage & Parking Lot,Premises,Voided,07/15/2016,03/31/2025,Vehicle Capacity: 982; Bicycle Capacity: 28,2123217542,Complete Address,13835,39TH AVE,,,,,FLUSHING,NY,11354,Queens,407.0,20.0,4607310.0,4049787502.0,QN22,2000.0,871.0,40.76105,-73.827082
2021768-DCA,SP PLUS CORPORATION,,BA-1477521-2022,Garage & Parking Lot,Premises,Voided,04/28/2015,03/31/2025,Vehicle Capacity: 546; Bicycle Capacity: 23,2123217542,Complete Address,196,CADMAN PLAZA WEST,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3326019.0,3002170001.0,BK09,4001.0,1.0,40.69845,-73.991442
2001130-DCA,SP PLUS CORPORATION,,BA-1469309-2022,Garage & Parking Lot,Premises,Voided,11/27/2013,03/31/2025,Vehicle Capacity: 85; Bicycle Capacity: 9,2123217542,Complete Address,189,WEST   89 STREET,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1085485.0,1012200001.0,MN12,3000.0,173.0,40.78936,-73.972973
1213801-DCA,IMPARK 85 LLC,,BA-1183840-2022,Garage & Parking Lot,Premises,Active,11/02/2005,03/31/2025,Vehicle Capacity: 91; Bicycle Capacity: 9,2129378660,Complete Address,81-89,EAST END AVENUE,,,UNIT,,NEW YORK,NY,10028,Manhattan,,,,,,,,40.86008043215257,-73.95628037630175
2042860-DCA,"WOC PACIFIC GARAGE COMPANY, LLC",,BA-1564474-2022,Garage & Parking Lot,Premises,Surrendered,08/25/2016,03/31/2023,Vehicle Capacity: 85; Bicycle Capacity: 9,5165655600,Complete Address,670,PACIFIC STREET,,,,,BROOKLYN,NY,11217,Brooklyn,308.0,35.0,3425668.0,3011280009.0,BK64,1001.0,161.0,40.68212,-73.973262
1244293-DCA,PACIFIC PARKING LLC,,BA-1435519-2022,Garage & Parking Lot,Premises,Out of Business,11/28/2006,03/31/2023,Vehicle Capacity: 170; Bicycle Capacity: 17,2033212129,Complete Address,700,PACIFIC STREET,,,,,BROOKLYN,NY,11217,Brooklyn,308.0,35.0,3027610.0,3011287501.0,BK64,1001.0,161.0,40.68194,-73.972396
2000587-DCA,SP PLUS CORPORATION,,BA-1544605-2022,Garage & Parking Lot,Premises,Surrendered,11/08/2013,03/31/2025,Vehicle Capacity: 262; Bicycle Capacity: 21,2123217542,Complete Address,95,OCEANA DRIVE EAST,,,,,BROOKLYN,NY,11235,Queens,410.0,32.0,4543418.0,4115440100.0,QN56,2011.0,88.0,40.67005,-73.842645
0897530-DCA,NEW YORK PARKING 57TH ST. CORP.,,BA-1433720-2022,Garage & Parking Lot,Premises,Surrendered,03/28/1997,03/31/2023,Vehicle Capacity: 43; Bicycle Capacity: 6,2123085959,Complete Address,110,EAST   57 STREET,,,,,NEW YORK,NY,10022,Manhattan,105.0,4.0,1036897.0,1013110065.0,MN19,2002.0,11203.0,40.76133,-73.970107
1313881-DCA,DANAE MARRERO,SAFE PARKING II,BA-1231510-2022,Garage & Parking Lot,Premises,Expired,04/10/2009,03/31/2023,Vehicle Capacity: 31; Bicycle Capacity: 0,9175674884,Complete Address,424,E 147TH ST,,,,,BRONX,NY,10455,Bronx,201.0,8.0,2000506.0,2022910012.0,BX39,2005.0,43.0,40.81434,-73.917762
1298783-DCA,MANSION 88 PARKING LLC,,BA-1432138-2022,Garage & Parking Lot,Premises,Expired,03/20/2009,03/31/2023,Vehicle Capacity: 35; Bicycle Capacity: 0,,Complete Address,170,EAST END AVENUE,,,,,NEW YORK,NY,10128,Manhattan,108.0,5.0,1087742.0,1015847501.0,MN32,4002.0,14402.0,40.77603,-73.943978
1461226-DCA,"IMPERIAL PARKING (U.S.), LLC",IMPARK,BA-1334474-2022,Garage & Parking Lot,Premises,Expired,04/01/2013,03/31/2023,Vehicle Capacity: 130; Bicycle Capacity: 13,212-934-8660,Complete Address,187,PACIFIC STREET,,,,,BROOKLYN,NY,11201,Brooklyn,306.0,39.0,3002988.0,3002867502.0,BK33,1000.0,45.0,40.68921,-73.993297
1364545-DCA,CHAMPION PARKING 80 LLC,,BA-1241047-2022,Garage & Parking Lot,Premises,Surrendered,08/02/2010,03/31/2023,Vehicle Capacity: 72; Bicycle Capacity: 7,2123085959,Complete Address,445,EAST   80 STREET,,,,,MANHATTAN,NY,10021,Manhattan,108.0,5.0,1050368.0,1015600021.0,MN32,3001.0,136.0,40.77249,-73.95091
2040601-DCA,SP PLUS CORPORATION,,BA-1511143-2022,Garage & Parking Lot,Premises,Voided,07/18/2016,03/31/2025,Vehicle Capacity: 121; Bicycle Capacity: 12,2123217542,Complete Address,2222,JACKSON AVE,,,,,LONG ISLAND CITY,NY,11101,Queens,402.0,26.0,4596261.0,4000720073.0,QN31,1073.0,19.0,40.7454,-73.946686
0921454-DCA,RAPID RIVERSIDE CORP.,RAPID RIVERSIDE,BA-1547697-2022,Garage & Parking Lot,Premises,Expired,03/26/1997,03/31/2023,Vehicle Capacity: 80; Bicycle Capacity: 8,2128661000,Complete Address,70,RIVERSIDE DR,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1033717.0,1012440001.0,MN12,2000.0,167.0,40.78498,-73.982252
1418775-DCA,EAST 54TH OPERATING LLC,,BA-1170823-2022,Garage & Parking Lot,Premises,Surrendered,02/06/2012,03/31/2025,Vehicle Capacity: 178; Bicycle Capacity: 12,6469644323,Complete Address,245,EAST   54 STREET,,,,,NEW YORK,NY,10022,Manhattan,106.0,4.0,1038575.0,1013280021.0,MN19,7002.0,108.0,40.7579,-73.967893
1334946-DCA,K.J.L. PROPERTY MANAGEMENT CORP.,,BA-1326836-2022,Garage & Parking Lot,Premises,Surrendered,10/01/2009,03/31/2023,,7182971049,Complete Address,14737,ARCHER AVENUE,,,,,JAMAICA,NY,11435,Queens,412.0,27.0,,,QN61,1002.0,212.0,40.70085,-73.806562
1130762-DCA,HJ PARKING LLC,ICON,BA-1353250-2022,Garage & Parking Lot,Premises,Expired,05/15/2006,03/31/2023,Vehicle Capacity: 226; Bicycle Capacity: 20,2126869800,Complete Address,301-309,WEST   51 STREET,,,,,NEW YORK,NY,10019,Manhattan,104.0,3.0,1025211.0,1010427501.0,MN15,2000.0,133.0,40.76303,-73.985885
2020421-DCA,AP SAINT NICHOLAS MANAGEMENT LLC,,BA-1103759-2022,Garage & Parking Lot,Premises,Expired,04/02/2015,03/31/2023,Vehicle Capacity: 180; Bicycle Capacity: 18,6469644323,Complete Address,673,SAINT NICHOLAS AVE,,,,,NEW YORK,NY,10030,Manhattan,109.0,9.0,1061004.0,1020500140.0,MN04,2000.0,227.0,40.82296,-73.945283
1209498-DCA,CHAMPION PARKING 36 LLC,,BA-1220515-2022,Garage & Parking Lot,Premises,Surrendered,09/09/2005,03/31/2023,Vehicle Capacity: 142; Bicycle Capacity: 14,2123085959,Complete Address,30,PARK AVENUE,,,,,NEW YORK,NY,10016,Manhattan,106.0,4.0,1017127.0,1008650040.0,MN20,3000.0,82.0,40.74812,-73.980598
1356588-DCA,SURF MANAGEMENT LLC,,BA-1532827-2022,Garage & Parking Lot,Premises,Expired,05/27/2010,03/31/2023,,9175840383,Complete Address,1625,SURF AVENUE,,,,,BROOKLYN,NY,11224,Brooklyn,313.0,47.0,3000000.0,3070620028.0,BK21,1003.0,326.0,40.57539,-73.983776
0429693-DCA,SEVENTEEN STREET PARKING CORP,,BA-1566666-2022,Garage & Parking Lot,Premises,Surrendered,03/28/1997,03/31/2023,,212-308-5959,Complete Address,7,W 17TH ST,,,,,NEW YORK,NY,10011,Manhattan,105.0,3.0,1084649.0,1008190039.0,MN13,1004.0,54.0,40.73819,-73.992841
1340629-DCA,1840 PARKING LOT L.L.C.,,BA-1117974-2022,Garage & Parking Lot,Premises,Surrendered,12/09/2009,03/31/2023,,3473867616,Complete Address,1840,HARRISON AVENUE,,,,,BRONX,NY,10453,Bronx,205.0,14.0,2000000.0,2028690016.0,BX36,3000.0,243.0,40.85123,-73.913306
1454365-DCA,LIC OPERATING 49 LLC,,BA-1319772-2022,Garage & Parking Lot,Premises,Expired,01/18/2013,03/31/2023,,2125755335,Complete Address,4720,30TH PL,,,,,LONG IS CITY,NY,11101,Queens,402.0,26.0,4436700.0,4002830001.0,QN31,1007.0,199.0,40.74266,-73.936843
0886174-DCA,AMBRO OPERATING CORPORATION,,BA-1126547-2022,Garage & Parking Lot,Premises,Surrendered,04/15/1997,03/31/2025,Vehicle Capacity: 127; Bicycle Capacity: 12,718-544-2322,Complete Address,7020,108 STREET,,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4052241.0,4022150001.0,QN17,4003.0,739.0,40.72254,-73.844264
2029261-DCA,QB 71ST AVENUE PARKING LLC,ALL COUNTS PARKING,BA-1447380-2022,Garage & Parking Lot,Premises,Expired,10/06/2015,03/31/2023,Vehicle Capacity: 126; Bicycle Capacity: 13,7187865555,Complete Address,10820,71 AVENUE,,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4595999.0,4022247502.0,QN17,5000.0,739.0,40.72176,-73.843367
1214412-DCA,MP TOGETHER LLC,,BA-1462778-2022,Garage & Parking Lot,Premises,Out of Business,04/30/2007,03/31/2023,Vehicle Capacity: 131; Bicycle Capacity: 13,2124903460,Complete Address,205,STATE STREET,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3346512.0,3002710001.0,BK09,2000.0,9.0,40.68997,-73.990884
2002931-DCA,SP PLUS CORPORATION,,BA-1544534-2022,Garage & Parking Lot,Premises,Voided,01/27/2014,03/31/2025,Vehicle Capacity: 1144; Bicycle Capacity: 29,2125025490,Complete Address,3818,UNION STREET,,,,,FLUSHING,NY,11354,Queens,407.0,20.0,,,QN22,2000.0,871.0,40.76149,-73.827073
2018935-DCA,SP PLUS CORPORATION,,BA-1565466-2022,Garage & Parking Lot,Premises,Expired,03/03/2015,03/31/2023,Vehicle Capacity: 176; Bicycle Capacity: 17,2125025490,Complete Address,10460,QUEENS BOULEVARD,,,,,FOREST HILLS,NY,11375,Queens,406.0,29.0,4433859.0,4031750001.0,QN17,1000.0,71305.0,40.72349,-73.84849
1461244-DCA,"IMPERIAL PARKING (U.S), LLC",IMPARK,BA-1332695-2022,Garage & Parking Lot,Premises,Expired,04/01/2013,03/31/2023,Vehicle Capacity: 291; Bicycle Capacity: 21,2129378660,Complete Address,9102,168 STREET,,,,,JAMAICA,NY,11432,Queens,412.0,27.0,4209632.0,4097960063.0,QN61,2005.0,460.0,40.70702,-73.792921
1133687-DCA,SAWYER PARKING LLC,,BA-1560754-2022,Garage & Parking Lot,Premises,Surrendered,03/11/2003,03/31/2025,Vehicle Capacity: 150; Bicycle Capacity: 15,2122428310,Complete Address,150,W 20TH ST,,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1014739.0,1007950067.0,MN13,1002.0,87.0,40.7419,-73.996247
1019560-DCA,CENTURY CAR PARK LLC,,BA-1235095-2022,Garage & Parking Lot,Premises,Surrendered,08/18/2011,03/31/2023,Vehicle Capacity: 200; Bicycle Capacity: 22,2122216111,Complete Address,3310,AVENUE H,,,,,BROOKLYN,NY,11210,Brooklyn,317.0,45.0,3337329.0,3075790029.0,BK58,1003.0,776.0,40.63184,-73.944413
2014575-DCA,"FRANKLIN AUTO REPAIR, INC.",,BA-1230112-2022,Garage & Parking Lot,Premises,Expired,10/15/2014,03/31/2023,,,Complete Address,1544,EAST  174 STREET,,,,,BRONX,NY,10472,Bronx,209.0,17.0,2094907.0,2038850001.0,BX08,3001.0,56.0,40.83436,-73.879092
1003796-DCA,"BUDHU, GANESH",G B PARKING,BA-1270188-2022,Garage & Parking Lot,Premises,Expired,07/12/2001,03/31/2023,,7182914555,Complete Address,14815,89TH AVE,,,,,JAMAICA,NY,11435,Queens,412.0,27.0,4310504.0,4096930060.0,QN61,3000.0,238.0,40.70424,-73.80728
1357464-DCA,SP PLUS CORPORATION,,BA-1552610-2022,Garage & Parking Lot,Premises,Voided,06/04/2010,03/31/2025,Vehicle Capacity: 56; Bicycle Capacity: 6,2123217542,Complete Address,910,5 AVENUE,,,,,NEW YORK,NY,10021,Manhattan,108.0,4.0,1041450.0,1013870001.0,MN40,3001.0,130.0,40.77241,-73.966525
1415618-DCA,SP PLUS CORPORATION,,BA-1477524-2022,Garage & Parking Lot,Premises,Voided,12/19/2011,03/31/2025,Vehicle Capacity: 84; Bicycle Capacity: 8,2125025490,Complete Address,13235,SANFORD AVENUE,,,,,FLUSHING,NY,11355,Queens,407.0,20.0,4114213.0,4050407502.0,QN22,1001.0,849.0,40.75512,-73.832114
2002932-DCA,SP PLUS CORPORATION,,BA-1542979-2022,Garage & Parking Lot,Premises,Voided,01/27/2014,03/31/2025,Vehicle Capacity: 195; Bicycle Capacity: 19,2123217542,Complete Address,515,WEST   59 STREET,,,,,NEW YORK,NY,10019,Manhattan,107.0,6.0,1030308.0,1011510017.0,MN14,1001.0,147.0,40.77071,-73.988306
0735058-DCA,71 ST. GARDEN GARAGE INC.,,BA-1104564-2022,Garage & Parking Lot,Premises,Expired,03/28/1997,03/31/2023,Vehicle Capacity: 150; Bicycle Capacity: 15,2124072516,Complete Address,211,EAST   70 STREET,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1043921.0,1014250005.0,MN31,3000.0,126.0,40.76806,-73.960657
1424752-DCA,"KAUFMAN ASTORIA STUDIOS, INC.",,BA-1338504-2022,Garage & Parking Lot,Premises,Surrendered,04/13/2012,03/31/2023,Vehicle Capacity: 150; Bicycle Capacity: 15,7183925600,Complete Address,3539,37 STREET,,,,,LONG ISLAND CITY,NY,11101,Queens,401.0,26.0,4620819.0,4006410004.0,QN70,3004.0,57.0,40.75523,-73.92422
2022179-DCA,SP PLUS CORPORATION,,BA-1562918-2022,Garage & Parking Lot,Premises,Expired,05/05/2015,03/31/2023,Vehicle Capacity: 220; Bicycle Capacity: 20,2125025490,Complete Address,56,N MOORE ST,,,,,NEW YORK,NY,10013,Manhattan,101.0,1.0,1002117.0,1001870021.0,MN24,4003.0,39.0,40.72,-74.009127
1030813-DCA,"PLAZA CAR PARK, LLC",,BA-1427671-2022,Garage & Parking Lot,Premises,Surrendered,08/18/2011,03/31/2023,Vehicle Capacity: 69; Bicycle Capacity: 0,212-221-6111,Complete Address,2,PLAZA STREET,,,,,BROOKLYN,NY,11238,Brooklyn,308.0,39.0,3029306.0,3011690001.0,BK37,1000.0,159.0,40.67537,-73.970892
2011687-DCA,KCF PARKING CORP.,,BA-1364750-2022,Garage & Parking Lot,Premises,Expired,08/06/2014,03/31/2023,Vehicle Capacity: 45; Bicycle Capacity: 0,7189333200,Complete Address,2481,CROTONA AVENUE,,,,,BRONX,NY,10458,Bronx,206.0,15.0,2000000.0,2030910087.0,BX06,1003.0,389.0,40.8563,-73.882435
2017911-DCA,SP PLUS CORPORATION,,BA-1532649-2022,Garage & Parking Lot,Premises,Voided,02/03/2015,03/31/2025,Vehicle Capacity: 150; Bicycle Capacity: 15,2123217542,Complete Address,375,PARK AVENUE,,,,,NEW YORK,NY,10152,Manhattan,105.0,4.0,1036465.0,1013070001.0,MN19,1003.0,100.0,40.75879,-73.972801
2022107-DCA,FT PARKING NY CORP,,BA-1211703-2022,Garage & Parking Lot,Premises,Surrendered,05/04/2015,03/31/2023,,347-884-2948,Complete Address,363,E 138TH ST,,,,,BRONX,NY,10454,Bronx,201.0,8.0,2000000.0,2023010039.0,BX39,2001.0,39.0,40.8095,-73.9238
0900020-DCA,615 GARAGE CORPORATION,,BA-1130231-2022,Garage & Parking Lot,Premises,Expired,05/13/2003,03/31/2023,Vehicle Capacity: 0; Bicycle Capacity: 15,2126168900,Complete Address,800,5 AVENUE,,,,,NEW YORK,NY,10065,Manhattan,108.0,4.0,1078315.0,1013760001.0,MN40,2001.0,11401.0,40.76561,-73.972022
1334951-DCA,K.J.L. PROPERTY MANAGEMENT CORP.,,BA-1327076-2022,Garage & Parking Lot,Premises,Surrendered,10/01/2009,03/31/2023,,7182971049,Complete Address,9215,147TH PL,,,,,JAMAICA,NY,11435,Queens,412.0,27.0,4213980.0,4099950007.0,QN61,1002.0,212.0,40.70153,-73.80692
2021125-DCA,"EMBASSY GARAGE PARTNERS, LLC",,BA-1195062-2022,Garage & Parking Lot,Premises,Surrendered,04/15/2015,03/31/2023,Vehicle Capacity: 94; Bicycle Capacity: 0,2128887400,Complete Address,120,EAST   81 STREET,,,,,NEW YORK,NY,10028,Manhattan,108.0,4.0,1047536.0,1015090056.0,MN40,5001.0,140.0,40.77651,-73.958518
0367720-DCA,222 EAST 69TH GARAGE CORP.,,BA-1118543-2022,Garage & Parking Lot,Premises,Expired,03/28/1997,03/31/2023,Vehicle Capacity: 157; Bicycle Capacity: 16,2127729507,Complete Address,222,E 69TH ST,,,,,NEW YORK,NY,10021,Manhattan,108.0,5.0,1043903.0,1014230010.0,MN31,2000.0,118.0,40.76731,-73.960848
0928832-DCA,OLIANTHA GARAGE CORP.,OLIANTHA GARAGE,BA-1461645-2022,Garage & Parking Lot,Premises,Surrendered,03/25/1997,03/31/2023,Vehicle Capacity: 188; Bicycle Capacity: 18,9177838974,Complete Address,102,W 107TH ST,,,,,NEW YORK,NY,10025,Manhattan,107.0,7.0,1055973.0,1018610037.0,MN09,6001.0,193.0,40.8001,-73.962848
1407209-DCA,LAR WEN ASSOCIATES INC.,,BA-1226557-2022,Garage & Parking Lot,Premises,Expired,09/09/2011,03/31/2023,,7187840825,Complete Address,1040,BORDEN AVENUE,,,,,LONG IS CITY,NY,11101,Queens,402.0,26.0,4000207.0,4000370025.0,QN31,1020.0,1.0,40.74114,-73.953477
2001619-DCA,34 NORTH 7TH PARKING CORP.,,BA-1115472-2022,Garage & Parking Lot,Premises,Expired,12/13/2013,03/31/2023,Vehicle Capacity: 59; Bicycle Capacity: 6,2127367171,Complete Address,27,N 6TH ST,,,STE,A,BROOKLYN,NY,11249,Brooklyn,301.0,33.0,3397389.0,3023247501.0,BK73,1000.0,555.0,40.72,-73.962658
1263880-DCA,"AMSTERDAM MARKET HOLDINGS, LLC",,BA-1118856-2022,Garage & Parking Lot,Premises,Expired,08/10/2007,03/31/2023,,201-947-8200,Complete Address,503,WEST  151 STREET,,,,,NEW YORK,NY,10031,Manhattan,109.0,7.0,1000000.0,1020830028.0,MN04,1000.0,237.0,40.82922,-73.945281
1213350-DCA,"STABLE CAR PARKING, INC.",,BA-1555118-2022,Garage & Parking Lot,Premises,Out of Business,10/26/2005,03/31/2023,Vehicle Capacity: 178; Bicycle Capacity: 17,212-979-9815,Complete Address,9201,4 AVENUE,,,,,BROOKLYN,NY,11209,Brooklyn,310.0,47.0,3155318.0,3061080022.0,BK31,2004.0,58.0,40.61823,-74.03021
1129469-DCA,68-60 AUSTIN STREET REALTY CORP.,,BA-1109791-2022,Garage & Parking Lot,Premises,Surrendered,12/27/2002,03/31/2023,Vehicle Capacity: 85; Bicycle Capacity: 8,7182681085,Complete Address,6860,AUSTIN ST,,,STE,113,FOREST HILLS,NY,11375,Queens,406.0,29.0,4077447.0,4032340029.0,QN17,2000.0,711.0,40.72223,-73.850434
0906438-DCA,CLAREMONT PARKING CORP,,BA-1236542-2022,Garage & Parking Lot,Premises,Expired,04/10/1997,03/31/2023,Vehicle Capacity: 200; Bicycle Capacity: 20,2128661000,Complete Address,480,RIVERSIDE DRIVE,,,,,NEW YORK,NY,10027,Manhattan,109.0,7.0,1081791.0,1019910032.0,MN09,1004.0,205.0,40.81158,-73.963904
0834487-DCA,VALET PARKING CORP.,,BA-1507590-2022,Garage & Parking Lot,Premises,Surrendered,04/10/1997,03/31/2023,Vehicle Capacity: 117; Bicycle Capacity: 11,2123085959,Complete Address,10,WEST   15 STREET,,,,,MANHATTAN,NY,10011,Manhattan,105.0,2.0,1078686.0,1008160031.0,MN13,3000.0,54.0,40.73695,-73.993754
1412999-DCA,QUIK PARK SCH GARAGE LLC,,BA-1388716-2022,Garage & Parking Lot,Premises,Expired,03/01/2013,03/31/2023,Vehicle Capacity: 109; Bicycle Capacity: 10,2128322066,Complete Address,236,LIVINGSTON STREET,,,,,BROOKLYN,NY,11201,Brooklyn,302.0,33.0,3397443.0,3001657501.0,BK38,1011.0,37.0,40.68915,-73.984534
1012276-DCA,CANAL CAR PARK INC.,,BA-1177543-2022,Garage & Parking Lot,Premises,Expired,08/18/2011,03/31/2023,,2122216111,Complete Address,313,BOND ST,,,,,BROOKLYN,NY,11231,Brooklyn,306.0,39.0,3418650.0,3004380003.0,BK33,3004.0,75.0,40.6797,-73.989714
0427311-DCA,SCR PARKING CORP.,,BA-1486848-2022,Garage & Parking Lot,Premises,Surrendered,04/10/1997,03/31/2023,Vehicle Capacity: 175; Bicycle Capacity: 18,2122493344,Complete Address,169,E 87TH ST,,,,,NEW YORK,NY,10128,Manhattan,108.0,5.0,1048051.0,1015160028.0,MN40,2001.0,14802.0,40.77988,-73.954374
0469165-DCA,GEMINI GARAGE CORP.,50 SUTTON PLACE SO GARAGE,BA-1194494-2022,Garage & Parking Lot,Premises,Out of Business,04/10/1997,03/31/2023,Vehicle Capacity: 76; Bicycle Capacity: 7,2129562280,Complete Address,50,SUTTON PLACE SOUTH,,,,,NEW YORK,NY,10022,Manhattan,106.0,4.0,1040353.0,1013660025.0,MN19,5000.0,10601.0,40.75573,-73.961895
1262710-DCA,ACCESS PARKING CORP.,,BA-1104881-2022,Garage & Parking Lot,Premises,Expired,04/03/2009,03/31/2023,Vehicle Capacity: 78; Bicycle Capacity: 7,2126757985,Complete Address,159,WEST   21 STREET,,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1000000.0,1007970007.0,MN13,1000.0,87.0,40.7423,-73.995338
2025430-DCA,162 PARKING OPS LLC,,BA-1108718-2022,Garage & Parking Lot,Premises,Surrendered,07/08/2015,03/31/2023,Vehicle Capacity: 171; Bicycle Capacity: 17,212-568-7800,Complete Address,528,W 162ND ST,,,,,NEW YORK,NY,10032,Manhattan,112.0,10.0,1062863.0,1021207502.0,MN36,4001.0,245.0,40.83644,-73.940845
2001484-DCA,SP PLUS CORPORATION,,BA-1538728-2022,Garage & Parking Lot,Premises,Voided,12/11/2013,03/31/2025,Vehicle Capacity: 147; Bicycle Capacity: 14,2123217542,Complete Address,214,W 80TH ST,,,,,NEW YORK,NY,10024,Manhattan,107.0,6.0,1032643.0,1012270043.0,MN12,5000.0,167.0,40.7841,-73.978482
1214704-DCA,555 WEST GARAGE CORP.,,BA-948717-2022,Garage & Parking Lot,Premises,Expired,03/17/2009,02/13/2024,Vehicle Capacity: 70; Bicycle Capacity: 7,2127367171,Complete Address,549,WEST   23 STREET,,,,,NEW YORK,NY,10011,Manhattan,104.0,3.0,1012345.0,1006957503.0,MN13,1041.0,99.0,40.74835,-74.00572
1465778-DCA,"AUTO STORAGE SYS SERVICES, INC.",,BA-1115468-2022,Garage & Parking Lot,Premises,Expired,05/28/2013,03/31/2023,Vehicle Capacity: 450; Bicycle Capacity: 23,7184939800,Complete Address,827,STERLING PL,,,,,BROOKLYN,NY,11216,Brooklyn,308.0,36.0,3031514.0,3012400049.0,BK61,3001.0,31701.0,40.67259,-73.951279
1445334-DCA,IB PARKING LOT INC.,,BA-1317156-2022,Garage & Parking Lot,Premises,Out of Business,09/19/2012,03/31/2025,,9177312200,Complete Address,941,GARRISON AVE,,,,,BRONX,NY,10474,Bronx,202.0,17.0,2005879.0,2027340046.0,BX27,2003.0,93.0,40.81823,-73.890913
